V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Convexity-sum,Convexity-weightedAvg,Convexity-weightedStdDev,Risk-sum,Risk-weightedAvg,Risk-weightedStdDev,Authority-sum,Authority-weightedAvg,Authority-weightedStdDev,workerId,attn_check_num_mistakes,attn_check_percent_correct,attn_check_exclude,attn_check_img_num,attn_check_correct_response,Q9,Q47,Convexity_1,Convexity_2,Convexity_3,Convexity_4,Convexity_5,Convexity_6,Convexity_7,Convexity_8,Convexity_9,Convexity_10,Convexity_11,Risk_1,Risk_2,Risk_3,Risk_4,Risk_5,Authoritarianism_1,Authoritarianism_2,Authoritarianism_3,Authoritarianism_4,Authoritarianism_6,REI_1,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_33,REI_34,REI_35,REI_36,REI_37,REI_38,REI_39,REI_40,REI_41,REI_42,REI_43,individualism_1,individualism_2,individualism_3,individualism_4,individualism_5,individualism_6,individualism_7,individualism_8,individualism_9,individualism_10,individualism_11,individualism_12,individualism_13,individualism_14,individualism_15,individualism_16,Q19,sex,age,race_1,race_2,race_3,race_4,race_10,race_11,race_12,edu,income,country,zip,neighborhood_current,neighborhood_growup,rel,pol_party,social_cons,econ_cons,survey_count,LocationLatitude,LocationLongitude,LocationAccuracy
R_3KJvkmlWQwE5NXb,,Anonymous,,,99.75.53.174,0,7/6/20 20:46,7/6/20 20:54,1,-20,-2,0.942809042,1,0.2,0.447213595,0,0,0,A17TKHT8FEVH0R,49,61.11111111,1,20,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view!,1,Thoroughly estimating introduced stimulated why but motionless! First on smart the help sense!,-3,2,-2,0,-3,1,-2,3,-2,2,-2,0,1,0,1,1,0,1,0,0,1,-2,-2,0,-1,0,-2,1,0,0,2,1,3,3,1,0,1,0,-2,1,0,3,3,-2,-2,3,-2,3,-3,-3,-3,3,2,2,3,0,3,3,3,2,3,0,3,2,2,-2,-2,-2,1,-3,-2,2,3,2,2,2,1,0,1,0,26,,1,,,,,,4,7,1,60188,2,2,1,0,-3,-3,4500,41.97779846,-88.20179749,-1
R_33x0jxs2a7Wufjh,,Anonymous,,,128.149.249.57,0,7/6/20 20:48,7/6/20 20:54,1,8,0.8,1.87379591,1,0.2,0.447213595,0,0,0,A2G7DTL156PTKA,0,100,0,18,Way extensive and dejection get delivered deficient sincerity gentleman age. Calling offense six joy feeling merits and was talent enough far!,1,Way extensive and dejection get delivered deficient sincerity gentleman age. Calling offense six joy feeling merits and was talent enough far!,2,-2,2,2,2,-2,3,0,-2,1,-2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,1,1,0,0,-1,-1,-2,2,-2,-3,1,-3,-2,0,-2,-3,-3,-2,-1,-3,2,3,0,3,3,-2,3,1,0,3,2,0,0,-3,1,-2,3,3,1,3,1,2,2,1,1,1,1,36,,1,,,,,,5,9,1,91010,2,1,1,3,-3,-2,12800,34.1618042,-118.0527039,-1
R_3PjWmEXSBgqcT70,,Anonymous,,,68.179.240.85,0,7/6/20 20:47,7/6/20 20:54,1,14,1.4,0.516397779,3,0.6,0.547722558,1,0.2,0.447213595,A30HUZHJBOX1LK,0,100,0,8,"Imprudence insensible be literature do! Compass journey, he request on suppose limited of or!",1,"Imprudence insensible be literature do! Compass journey, he request on suppose limited of or!",1,-1,2,-2,1,-1,2,-1,2,-1,-2,0,0,1,1,1,0,1,1,0,1,-1,-2,-2,-1,-1,-2,0,-1,1,1,-1,2,2,1,-1,1,-1,-2,0,2,-2,-2,2,-2,-2,2,-2,-2,-2,2,-2,-1,2,2,1,2,2,-2,2,1,0,1,1,0,0,-2,-2,-1,2,1,1,1,1,1,2,0,2,1,0,52,,,,1,,,,6,10,1,72088,3,3,1,-2,1,2,13000,35.60270691,-92.27420044,-1
R_1Lpq84l8EfJachf,,Anonymous,,,47.33.171.33,0,7/6/20 20:47,7/6/20 20:54,1,3,0.3,1.702938637,1,0.2,0.447213595,0,0,0,A6M7YIG6KKHPA,11,88.88888889,1,9,All decisively dispatched instrument particular way one. Fruit defer in party me built under first!,1,All decisively dispatched instrument way one. Fruit defer in party me built under first!,1,0,-3,2,2,-2,2,0,0,-1,-2,0,1,1,1,0,0,1,0,0,1,-1,-2,0,1,1,2,1,-2,-3,-3,1,-3,-3,-2,2,0,-2,3,-2,0,-3,-3,2,-3,-3,-2,-3,1,-3,-2,-3,-3,0,0,-2,2,0,-1,2,3,0,3,3,-2,1,3,3,-3,-2,-3,1,2,2,3,1,-1,3,1,0,29,,,,1,,,,4,5,1,97526,1,1,4,1,1,1,95,42.39559937,-123.3527985,-1
R_UZbkpEWJuprBT8Z,,Anonymous,,,100.14.119.156,0,7/6/20 20:46,7/6/20 20:54,1,-4,-0.4,1.349897115,2,0.4,0.547722558,0,0,0,A3I5ZQI3WP7NS4,3,97.56097561,0,14,We seeing piqued garden he! Folly was these three and songs arose whose in vicinity contempt together in possible branched!,1,We see piqued garden he! Folly was these three and songs arose whose in vicinity contempt together in possible branched!,1,2,1,2,1,2,-1,1,1,0,-2,0,0,1,1,0,0,1,0,0,1,0,2,0,-1,1,1,-1,-1,-1,0,-3,-1,-2,-1,1,0,2,0,-1,2,3,2,-3,2,3,-2,3,3,3,-2,3,2,-2,-2,-3,-3,-2,3,-2,-3,0,2,2,2,1,-3,1,-3,2,2,2,3,3,3,2,1,2,1,1,67,,,,1,,,,6,9,1,19382,2,2,1,3,-3,-2,7650,39.94439697,-75.58750153,-1
R_3t98wcZf8ldivbH,,Anonymous,,,73.43.88.83,0,7/6/20 20:47,7/6/20 20:54,1,8,0.8,0.918936583,5,1,0,0,0,0,A3J85WP15JFYW0,0,100,0,15,"Discovered interested, prosperous the our affronting day. Use shy seemed within twenty wished old few regret passed!",1,"Discovered interested, prosperous the our affronting day. Use shy seemed within twenty wished old few regret passed!",1,0,1,0,-1,-1,2,-2,1,-1,-1,1,0,1,0,1,0,1,0,0,1,-1,-1,0,-1,-2,-2,2,-2,-1,-2,-1,-1,0,-2,-1,0,-2,-2,-1,-2,-3,-2,2,-2,-1,2,-2,-3,-2,-2,-1,-2,-2,2,-2,2,2,-1,-1,2,0,2,1,-1,0,0,2,0,0,0,-1,1,-1,0,0,1,1,1,0,31,,1,,,,,,5,6,1,30322,1,1,1,1,-3,-1,1000,33.71730042,-84.478302,-1
R_1ojpo6jgCZ8d4Pf,,Anonymous,,,47.26.159.158,0,7/6/20 20:47,7/6/20 20:55,1,28,2.8,0.421637021,4,0.8,0.447213595,2,0.4,0.547722558,A15JP0TGZKLNIZ,1,99.14529915,0,5,Applauded use attempted strangers now are concluded had. Pleased anxious or as in by viewing forbade minutes prevent!,1,Applauded use attempted strangers now are concluded had.Pleased anxious or as in by viewing forbade minutes prevent!,3,-3,3,-3,3,-3,2,-3,2,-3,-2,1,0,1,1,1,0,0,0,1,1,-2,-2,-3,-2,-2,-2,-3,-2,3,3,3,3,3,3,-2,3,-2,-3,3,3,-3,-2,3,-3,-2,3,-2,-3,-2,3,-3,-3,3,3,3,3,3,3,3,3,0,3,3,3,1,3,3,1,2,-1,2,3,-1,3,3,3,3,1,0,26,,,,1,,,,5,8,1,49316,3,3,7,-2,-1,2,5000,42.66700745,-85.62139893,-1
R_w5bPpSgJXHHZkyZ,,Anonymous,,,173.91.109.51,0,7/6/20 20:47,7/6/20 20:55,1,-27,-2.7,0.948683298,2,0.4,0.547722558,1,0.2,0.447213595,A28AXX4NCWPH1F,0,100,0,19,"Put still any about manor heard if number no up period regard sudden better! Out particular, sympathize not favourable introduced but ham!",1,"Put still any about manor heard if number no up period regard sudden better! Out particular, sympathize not favourable introduced but ham!",-3,3,-3,0,-3,3,-3,3,-3,3,-2,1,1,1,1,0,0,1,1,0,1,0,0,-1,0,0,0,1,0,0,1,1,3,3,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3,-1,1,0,0,0,0,2,2,0,1,-2,0,-3,-3,-3,-3,3,3,0,3,3,1,2,1,0,1,0,36,,,,1,,,,4,1,1,44052,1,1,1,1,-1,-1,1000,41.42959595,-82.20469666,-1
R_1ikZwSD2p9UnpCH,,Anonymous,,,68.101.151.45,0,7/6/20 20:47,7/6/20 20:55,1,0,0,3.16227766,3,0.6,0.547722558,3,0.6,0.547722558,A2SM1GBN4ARGM4,0,100,0,2,Certainty say his him collected intention promotion! Views abode law heard jokes too!,1,Certainty say his him collected intention promotion! Views abode law heard jokes too!,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-2,0,0,1,0,0,0,1,1,1,0,1,-2,1,2,1,-2,2,3,-1,-2,2,1,-1,-1,3,0,-1,-1,2,2,1,-1,-1,-1,1,-1,1,-2,-3,-1,-1,-1,2,3,1,2,3,-1,2,-1,0,2,2,3,3,3,3,3,1,1,3,2,0,1,-1,1,2,1,1,37,,,,1,,,,2,9,1,92102,1,1,1,0,-1,-1,25000,32.97279358,-117.0379028,-1
R_3erYQZq67fvRByT,,Anonymous,,,104.53.143.130,0,7/6/20 20:47,7/6/20 20:55,1,5,0.5,1.08012345,1,0.2,0.447213595,1,0.2,0.447213595,A2L1K4XNDIQDXH,0,100,0,14,We seeing piqued garden he! Folly was these three and songs arose whose in vicinity contempt together in possible branched!,1,We seeing piqued garden he! Folly was these three and songs arose whose in vicinity contempt together in possible branched!,-1,-2,0,1,1,-1,1,-2,0,0,-2,0,0,0,1,0,0,1,1,0,1,0,-2,1,0,0,-1,2,1,-2,-2,1,0,0,-1,0,-2,-2,-1,1,-2,-1,-1,0,-1,-2,0,-2,-2,-2,-1,-2,-1,0,1,0,2,1,1,0,1,0,2,2,2,2,-2,0,-2,2,-1,1,1,1,1,0,0,1,1,1,35,,1,,,,,,5,6,1,90630,1,1,5,1,-1,1,1000,33.64160156,-117.6898041,-1
R_r6f1PFkfctxAXrH,,Anonymous,,,174.71.49.254,0,7/6/20 20:47,7/6/20 20:55,1,13,1.3,0.483045892,4,0.8,0.447213595,5,1,0,A2V3P1XE33NYC3,0,100,0,12,"Consider, no my am overcame yourself throwing sociable children. My solid by stuff first smile fan!",1,"Consider, no my am overcame yourself throwing sociable children. My solid by stuff first smile fan!",1,-1,1,-1,2,-1,1,-1,2,-2,-2,1,0,1,1,1,1,0,1,1,0,0,0,-2,-1,0,-2,0,-1,2,2,0,2,2,2,-1,2,0,-2,2,2,-3,-2,3,2,-3,3,-3,-2,-3,3,-3,-2,3,3,3,3,2,3,2,3,0,3,3,3,2,2,2,-3,2,2,0,3,2,3,3,0,3,1,0,49,,,,1,,,,6,6,1,68116,2,2,4,-3,3,1,500,41.28540039,-96.1493988,-1
R_21HF8XpZDDOSNaC,,Anonymous,,,66.177.64.130,0,7/6/20 20:49,7/6/20 20:56,1,6,0.6,1.349897115,0,0,0,1,0.2,0.447213595,A2CY1TSQ3KKP5Q,0,100,0,8,"Imprudence insensible be literature do! Compass journey, he request on suppose limited of or!",1,"Imprudence insensible be literature do! Compass journey, he request on suppose limited of or!",1,-1,1,2,1,-3,0,-1,-1,-1,-2,0,1,0,1,0,0,1,1,0,1,1,-2,1,0,0,1,1,1,-1,0,1,1,0,-1,1,0,1,0,2,-1,0,0,-1,0,1,-1,1,1,-1,-1,1,-1,0,1,-2,1,0,1,0,-1,0,1,1,0,1,-2,-1,-2,2,2,1,2,-1,0,-1,1,0,1,1,56,,,,1,,,,6,10,1,32277,2,2,7,-3,3,3,6200,30.36680603,-81.58730316,-1
R_3ff9ePx3kLHJXfb,,Anonymous,,,97.101.175.201,0,7/6/20 20:47,7/6/20 20:56,1,-23,-2.3,0.948683298,2,0.4,0.547722558,1,0.2,0.447213595,AEQ95NMC3VXQ5,0,100,0,11,"Now, months esteem oppose nearer enable too six. Affixed offence spirits or you of offices between!",1,"Now, months esteem oppose nearer enable too six. Affixed offence spirits or you of offices between!",-3,0,-2,3,-3,3,-2,2,-3,2,-2,0,0,0,1,1,1,1,0,0,1,-1,0,-1,-2,0,-1,0,-1,2,2,1,1,0,0,-2,-2,2,0,-1,1,2,3,-3,-2,2,-3,1,0,-2,-3,3,0,-3,0,0,2,0,1,2,-2,0,1,0,1,-3,-3,-2,-3,3,2,1,2,1,0,1,2,2,1,1,64,,,,1,,,,4,2,1,32118,1,1,7,3,-3,-2,5000,29.22079468,-81.01399994,-1
R_eWdvzL9uhZ1zsXv,,Anonymous,,,108.34.193.68,0,7/6/20 20:50,7/6/20 20:57,1,10,1,1.632993162,3,0.6,0.547722558,0,0,0,A2JZUSRBP6H5S,1,98.98989899,0,9,All decisively dispatched instrument particular way one. Fruit defer in party me built under first!,1,All decisively dispatched instrument particular way one.  Fruit defer in party me built under first!,1,-2,2,2,2,2,2,-2,1,-2,1,1,1,1,1,1,0,1,0,0,1,1,-2,1,2,2,1,1,1,-2,0,1,-2,-2,-2,1,-2,2,1,1,-2,-2,-2,0,-2,-1,2,-2,-2,-2,2,-1,-2,2,2,2,-2,2,0,2,2,0,2,1,1,2,1,0,0,2,1,1,2,1,2,1,2,2,1,0,36,,,,1,,,,5,10,1,2864,2,2,2,2,-2,-2,500,41.76890564,-71.47579956,-1
R_ABrqqfxLEaL1loB,,Anonymous,,,66.205.141.86,0,7/6/20 20:47,7/6/20 20:57,1,-10,-1,1.825741858,1,0.2,0.447213595,4,0.8,0.447213595,A3B9QNYDDXGL9I,0,100,0,19,"Put still any about manor heard if number no up period regard sudden better! Out particular, sympathize not favourable introduced but ham!",1,"Put still any about manor heard if number no up period regard sudden better! Out particular, sympathize not favourable introduced but ham!",0,3,2,3,0,0,0,3,-3,0,-2,0,1,0,1,1,1,0,1,1,1,0,-1,1,1,1,1,1,1,0,0,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,1,-1,0,-1,0,-1,-1,-1,0,0,0,1,1,1,1,0,0,1,0,0,-1,0,0,-2,2,1,0,1,2,3,1,1,1,2,2,1,1,28,,1,,,,,,5,8,1,95618,2,2,2,2,-2,-2,1000,38.42720032,-121.4420013,-1
R_3G7LzTjPhjHJ3m6,,Anonymous,,,50.227.220.144,0,7/6/20 20:48,7/6/20 20:57,1,5,0.5,1.269295518,1,0.2,0.447213595,1,0.2,0.447213595,A1XBWSV6TWJUU8,1,99.20634921,0,20,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view!,1,Thoroughly estimating introduced stimulated why but motionless? As departure at no propriety zealously dear rent if girl view?,1,-1,0,1,1,-2,0,-2,-2,-1,-2,0,1,0,1,1,1,1,0,0,1,1,-1,2,2,1,2,1,2,-2,-2,2,-1,-1,1,2,1,-1,1,1,1,-1,1,2,-1,-1,2,-1,1,1,1,-1,1,2,1,1,2,1,1,2,2,0,2,2,1,2,3,2,-1,2,1,1,2,1,2,2,1,2,1,1,35,,,,1,,,,5,7,1,95971,3,2,1,-2,2,2,1800,39.92790222,-120.969696,-1
R_300EklMnrCEuAOo,,Anonymous,,,63.229.223.253,0,7/6/20 20:47,7/6/20 20:57,1,-12,-1.2,0.632455532,2,0.4,0.547722558,1,0.2,0.447213595,AITF8FXB50XQ,1,98.98989899,0,11,"Now, months esteem oppose nearer enable too six. Affixed offence spirits or you of offices between!",1,"Now, months esteem oppose nearer enable too six.  Affixed offence spirits or you of offices between!",-2,1,-2,0,-1,1,-1,1,-2,1,-2,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,-1,0,1,1,1,0,1,0,0,0,1,1,1,-1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,-1,0,0,-1,0,0,1,1,1,1,1,1,1,0,36,,,,1,,,,5,5,1,55118,2,2,6,2,-2,-2,2000,44.80580139,-93.60710144,-1
